Codice;Nome;Indirizzo;Categoria;Gruppo;Punteggio;Rilevanza
S_13;SCUOLA RAPISARDI;VIA CALTANISSETTA, 27;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;Scuola;69;ALTA
S_14;SCUOLA MANZONI;VIA FILIPPO PARLATORE, 56;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;Scuola;69;ALTA
S_15;SCUOLA LA MASA;VIA GIUSEPPE LA MASA, 17;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;78;ALTA
S_16;SCUOLA POLITEAMA;PIAZZA CASTELNUOVO, 40;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;69;ALTA
S_17;SCUOLA CAPUANA;VIA ALESSIO NARBONE, 55;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;75;ALTA
S_18;SCUOLA TURRISI;PIAZZA VITTORIO EMANUELE ORLANDO, 3;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;69;ALTA
S_19;SCUOLA COLOZZA;VIA IMERA, 32;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;63;ALTA
S_20;SCUOLA BONANNO;VIA GIUSEPPE PITRÈ, 183;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;77;ALTA
S_21;SCUOLA QUARTO DEI MILLE;CORSO CALATAFIMI, 241;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;73;ALTA
S_22;SCUOLA PEREZ;VIA VINCENZO ERRANTE, 13;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;Scuola;66;ALTA
S_23;SCUOLA AMARI;VIA GIAN FILIPPO INGRASSIA, 33;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;70;ALTA
S_24;SCUOLA ROSOLINO PILO;VIA LA FRANCA SEBASTIANO, 70;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;53;ALTA
S_25;SCUOLA OBERDAN;VIA P. SPICA, 5;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;73;ALTA
S_26;SCUOLA OBERDAN;LARGO ERCOLE PIETRO;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA;Scuola;58;ALTA
S_27;SCUOLA ORESTANO;VIA CONTE FEDERICO, 3;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;70;ALTA
S_28;SCUOLA CAVALLARI;CORSO DEI MILLE, 793;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;85;ALTA
M_01;PALAZZO ZIINO;VIA DANTE, 53;SERVIZI PUBBLICI – MUSEO;Museo;69;ALTA
M_02;GALLERIA D’ARTE MODERNA;VIA SANT’ANNA, 21;SERVIZI PUBBLICI – MUSEO;Museo;77;ALTA
M_03;ARCHIVIO STORICO COMUNALE;VIA MAQUEDA,157;SERVIZI PUBBLICI – MUSEO;Museo;72;ALTA
