Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
SU_04;CATTEDRALE DI PALERMO;Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1129937;13.3548189;84;Parzialmente inaccessibile;Alta;Si;10
SU_05;PALAZZO REALE E CAPPELLA PALATINA;Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1112064;13.3532496;51;Parzialmente accessibile;Alta;Si;10
SU_06;SAN GIOVANNI DEGLI EREMITI;Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1088951;13.3553765;65;Parzialmente inaccessibile;Alta;Si;10
SU_07;PONTE AMMIRAGLIO;Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1078782;13.3714571;44;Parzialmente accessibile;Alta;No;4
P_01;PIAZZA CASTELNUOVO;Piazza;AREE URBANE;AREA RESIDENZIALE E COMMERCIALE;PIAZZA;VIII;OSM;38.1243582;13.3549349;35;Accessibile;Alta;No;6
P_02;PIAZZA VITTORIO EMANUELE ORLANDO;Piazza;AREE URBANE;AREA AD ALTA VALENZA ISTITUZIONALE;PIAZZA;VIII;stima;38.154876;13.1091582;32;Accessibile;Alta;No;7
P_03;PIAZZA GIUSEPPE VERDI;Piazza;AREE URBANE;AREA COMMERCIALE;PIAZZA;I;OSM;38.1203534;13.3565813;31;Accessibile;Alta;No;7
P_04;PIAZZA SAN DOMENICO;Piazza;AREE URBANE;AREA MONUMENTALE E COMMERCIALE;PIAZZA;I;OSM;38.1188139;13.3629446;33;Accessibile;Alta;No;7
AV_01;PARCO D’URSO ERMELINDA, VIA GINO ZAPPA (NON VALUTABILE);Area verde;;;;VII;OSM;38.178121;13.3122973;;Non valutabile;;Si;0
AV_02;GIARDINO PALAZZINA CINESE, VIALE DUCA DEGLI ABRUZZI;Area verde;AREE URBANE;AMBIENTE STORICO-PAESAGGISTICO DI ELEVATISSIMA VALENZA MONUMENTALE;PERCORSI INTERNI;VII;stima;;;39;Parzialmente accessibile;Alta;No;10
AV_03;GIARDINO PIAZZA NISCEMI, PIAZZA NISCEMI;Area verde;AREE URBANE;AMBITO RESIDENZIALE;PERCORSI INTERNI;VI;OSM;38.1626685;13.3318408;42;Parzialmente accessibile;Alta;No;9
AV_04;GIARDINO DELLE ROSE, VIA BRIGATA VERONA;Area verde;AREE URBANE;AMBITO RESIDENZIALE DI ESPANSIONE – AREA AD ALTA DENSITÀ DI TRAFFICO;PERCORSI INTERNI;VIII;OSM;38.1430883;13.3383212;33;Accessibile;Alta;No;4
AV_05;PIAZZA BENVENUTO CELLINI;Area verde;AREE URBANE;AMBITO RESIDENZIALE DI PERIFERIA;PERCORSI INTERNI;VII;OSM;38.13744;13.3096793;47;Parzialmente accessibile;Bassa;No;7
AV_06;GIARDINO PUBBLICO, VIA TINDARI;Area verde;AREE URBANE;AMBITO RESIDENZIALE DI PERIFERIA;PERCORSI INTERNI;V;OSM;38.1282453;13.294321;54;Parzialmente accessibile;Bassa;No;7
AV_07;GIARDINO PUBBLICO, VIALE MICHELANGELO;Area verde;AREE URBANE;AMBITO RESIDENZIALE DI PERIFERIA - ASSE DI SCORRIMENTO;PERCORSI INTERNI;V;OSM;38.1344673;13.3126537;38;Accessibile;Bassa;No;7
AV_08;PIAZZA ALBERIGO GENTILI;Area verde;AREE URBANE;AMBITO RESIDENZIALE AD ALTA DENSITÀ;PERCORSI INTERNI;VIII;stima;;;39;Parzialmente accessibile;Alta;No;7
AV_09;VILLA TRABIA, VIA SALINAS;Area verde;AREE URBANE;AMBITO STORICO-RESIDENZIALE DI PREGIO;PERCORSI INTERNI;VIII;OSM;38.1292625;13.3463568;40;Parzialmente accessibile;Alta;No;10
AV_10;VILLA GARIBALDI, VIALE DELLA LIBERTÀ;Area verde;AREE URBANE;AMBITO RESIDENZIALE DI ESPANSIONE – AREA AD ALTA DENSITÀ DI TRAFFICO;PERCORSI INTERNI;I;OSM;38.0800965;13.5044229;46;Parzialmente accessibile;Alta;No;7
AV_11;PARCO PIERSANTI MATTARELLA, VIALE DELLA LIBERTÀ;Area verde;AREE URBANE;AMBITO RESIDENZIALE DI ESPANSIONE – AREA AD ALTA DENSITÀ DI TRAFFICO;PERCORSI INTERNI;I;OSM;38.0800965;13.5044229;41;Parzialmente accessibile;Alta;No;10
AV_12;PARCO NAZARIO SAURO, VIA NAZARIO SAURO;Area verde;AREE URBANE;AMBITO RESIDENZIALE;PERCORSI INTERNI;V;OSM;38.1241601;13.3307781;45;Parzialmente accessibile;Alta;No;10
AV_13;GIARDINO, PIAZZA LOLLI;Area verde;AREE URBANE;AMBITO RESIDENZIALE;PERCORSI INTERNI;VIII;OSM;38.1236826;13.3467182;39;Parzialmente accessibile;Alta;No;7
AV_14;GIARDINO, PIAZZA IGNAZIO FLORIO;Area verde;AREE URBANE;AMBITO RESIDENZIALE;PERCORSI INTERNI;VIII;OSM;38.1250574;13.3601337;42;Parzialmente accessibile;Alta;No;4
AV_15;GIARDINO, PIAZZA SANT’OLIVA;Area verde;AREE URBANE;AMBITO RESIDENZIALE/COMMERCIALE;PERCORSI INTERNI;VIII;OSM;38.1231849;13.3538799;46;Parzialmente accessibile;Alta;No;10
AV_16;GIARDINO DELLA ZISA;Area verde;AREE URBANE;AMBITO RESIDENZIALE;PERCORSI INTERNI;V;OSM;38.1165774;13.3426988;47;Parzialmente accessibile;Alta;No;10
AV_17;GIARDINO EX CASA DELLA MADRE E DEL BAMBINO “MARIA PIA DI SAVOIA” – VIA PAPIRETO;Area verde;AREE URBANE;AREA ALL’INTERNO DI CONTESTO ISTITUZIONALE E TURISTICO;PERCORSI INTERNI;;;;;46;Parzialmente accessibile;Alta;No;10
AV_18;GIARDINO, PIAZZA INDIPENDENZA;Area verde;AREE URBANE;AREA ALL’INTERNO DI CONTESTO ISTITUZIONALE E TURISTICO;PERCORSI INTERNI;IV;OSM;38.1106918;13.3509647;45;Parzialmente accessibile;Alta;No;7
AV_19;VILLA BONANNO, PIAZZA DELLA VITTORIA;Area verde;AREE URBANE;AREA ALL’INTERNO DI CONTESTO ISTITUZIONALE E TURISTICO;PERCORSI INTERNI;I;OSM;38.1123586;13.3553017;38;Accessibile;Alta;No;7
AV_20;GIARDINO, VIA ERNESTO BASILE;Area verde;AREE URBANE;AMBITO RESIDENZIALE INTENSIVO AD ALTO SCORRIMENTO;PERCORSI INTERNI;IV;OSM;38.0974948;13.3455136;44;Parzialmente accessibile;Alta;No;10
AV_21;GIARDINO GARIBALDI, PIAZZA MARINA;Area verde;AREE URBANE;AMBITO PAESAGGISTICO E STORICO-MONUMENTALE;PERCORSI INTERNI;I;OSM;38.1177752;13.3686382;44;Parzialmente accessibile;Alta;No;7
AV_22;FORO ITALICO, VIA UMBERTO I – S.S. 113;Area verde;AREE URBANE;AMBITO PAESAGGISTICO;PERCORSI INTERNI;I;stima;38.0866729;13.2950233;45;Parzialmente accessibile;Alta;No;10
AV_23;VILLA GIULIA, VIA LINCOLN;Area verde;AREE URBANE;AMBITO PAESAGGISTICO E MONUMENTALE;PERCORSI INTERNI;I;OSM;38.1146462;13.3749795;46;Parzialmente accessibile;Alta;No;10
VU_01;VIA MICHELE PIAZZA – VIA SILVIO PELLICO – VIA ZISA – PIAZZA INGASTONE – VIA COLONNA ROTTA;Percorso UNESCO;PERCORSI UNESCO;VIE DI ACCESSO AREA STORICO-ISTITUZIONALE;MARCIAPIEDE;V;OSM;38.1162108;13.3442485;50;Parzialmente accessibile;Alta;No;14
VU_02;CORSO CALATAFIMI – CORSO VITTORIO EMANUELE – PIAZZA DELLA VITTORIA – VIA DEL BASTIONE -;Percorso UNESCO;PERCORSI UNESCO;AREA STORICO-ISTITUZIONALE;MARCIAPIEDE;IV;OSM;38.0962272;13.3134713;50;Parzialmente accessibile;Alta;No;13
VU_03;CORSO VITTORIO EMANUELE;Percorso UNESCO;PERCORSI UNESCO;ASSE STORICO PRINCIPALE (CASSARO), PARZIALMENTE PEDONALIZZATO;MARCIAPIEDE;I;OSM;38.1124171;13.3533766;47;Parzialmente accessibile;Alta;No;13
VU_04;VIA MAQUEDA;Percorso UNESCO;PERCORSI UNESCO;ASSE STORICO E COMMERCIALE PRIMARIO (PEDONALIZZATO);MARCIAPIEDE;I;OSM;38.1184556;13.3596687;41;Parzialmente accessibile;Alta;No;13
VU_05;PIAZZA GIULIO CESARE – VIA LINCOLN;Percorso UNESCO;PERCORSI UNESCO;SNODO VIARIO AD ALTO SCORRIMENTO;MARCIAPIEDE;III;OSM;38.1098934;13.3663171;47;Parzialmente accessibile;Alta;No;12
VU_06;CORSO DEI MILLE;Percorso UNESCO;PERCORSI UNESCO;ARTERIA AD ALTO SCORRIMENTO (CENTRO STORICO-PERIFERIA);MARCIAPIEDE;II;OSM;38.1078782;13.3714571;46;Parzialmente accessibile;Alta;No;15
VS_01;CORSO VITTORIO EMANUELE;Percorso storico;PERCORSI STORICI;ASSE STORICO PRINCIPALE (CASSARO), PARZIALMENTE PEDONALIZZATO;MARCIAPIEDE;I;OSM;38.1124171;13.3533766;46;Parzialmente accessibile;;No;16
VS_02;VIA UMBERTO I (S.S. 113);Percorso storico;PERCORSI STORICI;ASSE DI SCORRIMENTO AREA ADIACENTE IL CENTRO STORICO;MARCIAPIEDE;II;stima;38.0866729;13.2950233;42;Parzialmente accessibile;;No;15
VS_03;VIA LINCOLN;Percorso storico;PERCORSI STORICI;VIA AD ALTO SCORRIMENTO, AREE VERDI (ORTO BOTANICO);MARCIAPIEDE;II;stima;37.9306857;13.6640047;43;Parzialmente accessibile;;No;15
VS_04;CORSO DEI MILLE - VIA GARIBALDI - VIA CANTAVESPRI - VIA CAGLIARI - VIA LIVORNO - VIA CALDERAI;Percorso storico;PERCORSI STORICI;VIE INTERNE AD ALTA DENSITÀ;MARCIAPIEDE;II;OSM;38.1065115;13.3739109;56;Parzialmente accessibile;;No;14
VS_05;VIA MAGIONE - VIA DELLA PACE - VIA DELLO SPASIMO - VIA SANTA TERESA - VIA TORREMUZZA;Percorso storico;PERCORSI STORICI;VIE INTERNE, ALTISSIMA VALENZA STORICA;MARCIAPIEDE;I;OSM;38.1132707;13.3688885;53;Parzialmente accessibile;;No;14
VS_06;SALITA MURA DELLE CATTIVE - VIA ALLORO - VIA QUATTRO APRILE - PIAZZA MARINA;Percorso storico;PERCORSI STORICI;VIE STORICHE INTERNE;MARCIAPIEDE;I;OSM;38.117391;13.3726014;53;Parzialmente accessibile;;No;14
VS_07;VIA PORTO SALVO - PIAZZA TARZANÀ - PIAZZA FONDERIA - VIA GIOVANNI MELI;Percorso storico;PERCORSI STORICI;VIE STORICHE;MARCIAPIEDE;I;OSM;38.1185485;13.3673489;53;Parzialmente accessibile;;No;14
VS_08;VIA BAMBOLAI - LARGO DEI CAVALIERI DI MALTA - VIA CASTELLO - VIA FRATELLI ORLANDO;Percorso storico;PERCORSI STORICI;VIE STORICHE INTERNE E STRETTE;MARCIAPIEDE;I;stima;;;57;Parzialmente accessibile;;No;14
VS_09;VIA ROMA;Percorso storico;PERCORSI STORICI;ASSE VIARIO PRINCIPALE;MARCIAPIEDE;I;OSM;38.1178334;13.3629551;41;Parzialmente accessibile;;No;17
VS_10;VIA CAVOUR - VIA FILIPPO PATTI;Percorso storico;PERCORSI STORICI;ASSE VIARIO DI COLLEGAMENTO;MARCIAPIEDE;VIII;stima;38.0357189;14.0212261;44;Parzialmente accessibile;Alta;No;14
VS_11;VIA PRINCIPE DI BELMONTE;Percorso storico;PERCORSI STORICI;VIA PREVALENTEMENTE PEDONALIZZATA E COMMERCIALE;MARCIAPIEDE;VIII;OSM;38.1240754;13.3576852;42;Parzialmente accessibile;Alta;No;13
VS_12;VIA EMERICO AMARI;Percorso storico;PERCORSI STORICI;ASSE VIARIO COMMERCIALE, PARZIALMENTE PEDONALIZZATO;MARCIAPIEDE;VIII;OSM;38.1253129;13.3581019;44;Parzialmente accessibile;Alta;No;13
VS_13;VIA PRINCIPE DI SCORDIA – VIA DOMENICO SCINÀ;Percorso storico;PERCORSI STORICI;ARTERIE CENTRALI AD ALTO TRAFFICO;MARCIAPIEDE;VIII;OSM;38.1233452;13.3617238;49;Parzialmente accessibile;Alta;No;12
VS_14;VIA VINCENZO ERRANTE - VIA ORETO;Percorso storico;PERCORSI STORICI;ARTERIE ESTERNE AL CENTRO, AD ALTISSIMO SCORRIMENTO;MARCIAPIEDE;III;OSM;38.1078103;13.364946;47;Parzialmente accessibile;Alta;No;13
VS_15;CORSO TUKORI;Percorso storico;PERCORSI STORICI;ASSE VIARIO  AD ALTO SCORRIMENTO;MARCIAPIEDE;III;stima;;;53;Parzialmente accessibile;Alta;No;15
VS_16;CORSO RE RUGGERO;Percorso storico;PERCORSI STORICI;ASSE STORICO E MONUMENTALE (VICINO PALAZZO REALE);MARCIAPIEDE;IV;OSM;38.1093152;13.3536092;48;Parzialmente accessibile;Alta;No;12
VS_17;PIAZZA INDIPENDENZA;Percorso storico;PERCORSI STORICI;AREA STORICO/ISTITUZIONALE;MARCIAPIEDE;IV;OSM;38.1106918;13.3509647;42;Parzialmente accessibile;Alta;No;12
VS_18;VIA GIOVANNI ARGENTO - VIA ENRICO TOTI - PIAZZA MONTEGRAPPA;Percorso storico;PERCORSI STORICI;STRADE INTERNE AREA SEMI-CENTRALE/ISTITUZIONALE;MARCIAPIEDE;IV;OSM;38.1065401;13.3539795;54;Parzialmente accessibile;Alta;No;13
VS_19;VIA ORETO - VIA PIETRO SPICA - VIA GIOVANNI CAMPISI - VIA BUONRIPOSO - VIA GIUSEPPE SERGI;Percorso storico;PERCORSI STORICI;ZONA AD ALTA DENSITÀ ABITATIVA E DI TRAFFICO;MARCIAPIEDE;III;OSM;38.1056503;13.3679625;51;Parzialmente accessibile;Alta;No;14
VS_20;CORSO DEI MILLE - VIA BRANCACCIO - VIA GERMANESE - VIA BRANCACCIO - VIA CONTE FEDERICO;Percorso storico;PERCORSI STORICI;ASSE PERIFERICO AD ALTO SCORRIMENTO;MARCIAPIEDE;II;OSM;38.1065115;13.3739109;56;Parzialmente accessibile;Alta;No;19
VS_22;VIA  CIACULLI -CORSO DEI MILLE CROCEVERDE;Percorso storico;PERCORSI STORICI;ASSE VIARIO PERIFERICO;MARCIAPIEDE;II;OSM;38.0824974;13.3969218;65;Parzialmente inaccessibile;Alta;No;17
VS_23;VIA CORRADO AVOLIO - VIA MICHELE DEL GIUDICE - VIA ANTONIO MONGITORE - VIA LAGUMINA FRATELLI - VIA;Percorso storico;PERCORSI STORICI;STRADE INTERNE AD ALTA DENSITÀ;MARCIAPIEDE;I;OSM;38.1096063;13.3600168;54;Parzialmente accessibile;Alta;No;13
VS_24;VIA DEL PONTICELLO - VIA PORTA DI CASTRO;Percorso storico;PERCORSI STORICI;ARTERIE ESTERNE AL CENTRO;MARCIAPIEDE;;;;;61;Parzialmente accessibile;Alta;No;14
VS_25;VIA NAPOLI;Percorso storico;PERCORSI STORICI;VIA COMMERCIALE DI COLLEGAMENTO;MARCIAPIEDE;I;OSM;38.1176486;13.3612677;44;Parzialmente accessibile;Alta;No;13
VS_26;VIA MAQUEDA - VIA RUGGERO SETTIMO;Percorso storico;PERCORSI STORICI;ASSE COMMERCIALE PRIMARIO;MARCIAPIEDE;I;OSM;38.1184556;13.3596687;46;Parzialmente accessibile;Alta;No;17
VS_27;DISCESA DEI GIOVENCHI - VIA PANNERIA - VIA JUDICA - VIA GIOIAMIA;Percorso storico;PERCORSI STORICI;STRADE STRETTE E IRREGOLARI;MARCIAPIEDE;I;OSM;38.1176856;13.3596892;65;Parzialmente inaccessibile;Alta;No;13
VS_28;VIA MATTEO BONELLO - VIA PAPIRETO - PIAZZA DELLA MEMORIA - VIA NICOLÒ TURRISI;Percorso storico;PERCORSI STORICI;AREA AD ALTA VALENZA ISTITUZIONALE (PALAZZO DI GIUSTIZIA, CATTEDRALE);MARCIAPIEDE;I;OSM;38.114994;13.3545804;51;Parzialmente accessibile;Alta;No;15
VS_29;VIA VOLTURNO - VIA SALESIO BALSANO - VIA VILLA FILIPPINA;Percorso storico;PERCORSI STORICI;AREA AD ALTA DENSITÀ (TEATRO MASSIMO);MARCIAPIEDE;VIII;OSM;38.1197156;13.3547769;54;Parzialmente accessibile;Alta;No;13
VS_30;VIA PIGNATELLI ARAGONA;Percorso storico;PERCORSI STORICI;ASSE PERIFERICO AD ALTO SCORRIMENTO;MARCIAPIEDE;VIII;OSM;38.1210818;13.3553392;44;Parzialmente accessibile;Alta;No;12
VS_31;VIA SANT’OLIVA – PIAZZA SAN FRANCESCO DI PAOLA;Percorso storico;PERCORSI STORICI;ZONA CENTRALE E COMMERCIALE;MARCIAPIEDE;VIII;OSM;38.1220183;13.3531347;44;Parzialmente accessibile;Alta;No;12
VS_32;VIA BRUNETTO LATINI;Percorso storico;PERCORSI STORICI;VIA INTERNA;MARCIAPIEDE;VIII;OSM;38.1230652;13.3500553;44;Parzialmente accessibile;Alta;No;12
VS_33;VIA DOMENICO SCINA’ – VIA FILIPPO TURATI – VIA DANTE – VIA SERRADIFALCO – VIA ALESSIO NARBONE;Percorso storico;PERCORSI STORICI;STRADE INTERNE AD ALTA DENSITÀ;MARCIAPIEDE;VIII;OSM;38.1286159;13.3590659;41;Parzialmente accessibile;Alta;No;18
VS_34;CORSO CAMILLO FINOCCHIARO APRILE – VIA GIUSEPPE WHITAKER – VIA IMERA;Percorso storico;PERCORSI STORICI;CORSO AD ALTO SCORRIMENTO;MARCIAPIEDE;VIII;OSM;37.7205819;13.4330215;46;Parzialmente accessibile;Alta;No;17
VS_35;VIA NOCE – VIA GIUSEPPE EVANGELISTA DI BLASI;Percorso storico;PERCORSI STORICI;VIA INTERNA PERIFERICA;MARCIAPIEDE;V;OSM;38.1208444;13.3361534;43;Parzialmente accessibile;Alta;No;15
VS_36;VIA RUGGERONE DA PALERMO – VIA TOMMASO CALOJRA – FONDO LA MANNA;Percorso storico;PERCORSI STORICI;VIA INTERNA PERIFERICAE;MARCIAPIEDE;V;OSM;38.1208412;13.3329527;53;Parzialmente accessibile;Alta;No;14
VS_37;VIA DOMENICO LANCIA DI BROLO;Percorso storico;PERCORSI STORICI;VIA INTERNA PERIFERICA;MARCIAPIEDE;V;OSM;38.1241838;13.335454;50;Parzialmente accessibile;Alta;No;13
VS_38;CORSO CALATAFIMI;Percorso storico;PERCORSI STORICI;VIALE PRINCIPALE;MARCIAPIEDE;IV;OSM;38.0962272;13.3134713;40;Parzialmente accessibile;Alta;No;19
VS_39;CORSO PIETRO PISANI;Percorso storico;PERCORSI STORICI;VIALE PRINCIPALE, ALTO SCORRIMENTO;MARCIAPIEDE;IV;stima;;;40;Parzialmente accessibile;Alta;No;14
VS_40;VIA PINDEMONTE;Percorso storico;PERCORSI STORICI;ASSE STORICO PRINCIPALE (CASSARO), PARZIALMENTE PEDONALIZZATO;MARCIAPIEDE;IV;OSM;38.1089063;13.340187;44;Parzialmente accessibile;Alta;No;14
VS_41;VIA GIUSEPPE PITRE’;Percorso storico;PERCORSI STORICI;ASSE DI SCORRIMENTO AREA ADIACENTE IL CENTRO STORICO;MARCIAPIEDE;IV;OSM;38.1104945;13.3302451;40;Parzialmente accessibile;Alta;No;18
VS_42;VIA CIPRESSI – VIA REGINA BIANCA;Percorso storico;PERCORSI STORICI;ARTERIE INTERNE PERIFERICHE;MARCIAPIEDE;V;OSM;38.1142699;13.3452212;58;Parzialmente accessibile;Alta;No;13
VS_43;VIA DOGALI – VIA ROCCAZZO;Percorso storico;PERCORSI STORICI;ARTERIE INTERNE PERIFERICHE;MARCIAPIEDE;V;OSM;38.1248525;13.3128783;37;Accessibile;Alta;No;12
VS_44;VIA UDITORE – PIAZZA CHIESA SANT’ALFONSO DEI LIGUORI – VIA MAMMANA;Percorso storico;PERCORSI STORICI;ARTERIE INTERNE PERIFERICHE;MARCIAPIEDE;V;OSM;38.1292352;13.3262857;41;Parzialmente accessibile;Alta;No;14
VS_45;VIA CRUILLAS – VIA TRABUCCO;Percorso storico;PERCORSI STORICI;ARTERIE INTERNE PERIFERICHE;MARCIAPIEDE;VII;OSM;38.1440548;13.3182606;64;Parzialmente inaccessibile;Alta;No;18
VS_46;VIA MONTALBO;Percorso storico;PERCORSI STORICI;ARTERIA INTERNA PERIFERICA;MARCIAPIEDE;VIII;OSM;38.138124;13.3631565;46;Parzialmente accessibile;Alta;No;13
VS_47;VIA AMMIRAGLIO RIZZO – PIAZZA ACQUASANTA – VIA BELMONTE (S.S.113);Percorso storico;PERCORSI STORICI;VIE STORICHE INTERNE E STRETTE;MARCIAPIEDE;VIII;stima;38.1933398;13.2450464;50;Parzialmente accessibile;Alta;No;13
VS_48;VIA PAPA SERGIO I (S.S.113);Percorso storico;PERCORSI STORICI;VIE COSTIERE (S.S.113), TRAFFICO FREQUENTE;MARCIAPIEDE;VII;OSM;38.1573791;13.3708818;35;Accessibile;Alta;No;15
VS_49;VIA PAPA GREGORIO MAGNO – VIA SAN VINCENZO DÈ PAOLI;Percorso storico;PERCORSI STORICI;VIE COSTIERE (S.S.113), TRAFFICO FREQUENTE;MARCIAPIEDE;VII;OSM;38.1522327;13.3704866;41;Parzialmente accessibile;Alta;No;13
VS_50;VIA BORDONARO (S.S.113) – VIA NOSTRA SIGNORA DEL ROTOLO;Percorso storico;PERCORSI STORICI;VIE COSTIERE (S.S.113), TRAFFICO FREQUENTE;MARCIAPIEDE;VII;OSM;38.1654668;13.3683396;48;Parzialmente accessibile;Alta;No;13
VS_51;VIA GIUSEPPE PREZZOLINI – VIA NUOVA – VIA DEI QUARTIERI – VIALE DUCA DEGLI ABBRUZZI – VIA MATER DOLOROSA;Percorso storico;PERCORSI STORICI;ARTERIE INTERNE PERIFERICHE;MARCIAPIEDE;VI;OSM;38.1594707;13.321139;44;Parzialmente accessibile;Alta;No;20
VS_52;VIALE DELLA RESURREZIONE;Percorso storico;PERCORSI STORICI;VIALE DI SCORRIMENTO NORD, TRAFFICO INTENSO;MARCIAPIEDE;VII;OSM;38.1687794;13.3224068;48;Parzialmente accessibile;Alta;No;14
VS_53;VIA PARTANNA MONDELLO (S.S.113) - VIA LORENZO IANDOLINO (S.S.113) - VIA CARBONE (S.S.113) - VIALE;Percorso storico;PERCORSI STORICI;VIALE DI SCORRIMENTO;MARCIAPIEDE;VII;OSM;38.1943426;13.3044966;44;Parzialmente accessibile;Alta;No;16
VS_54;VIA PRINCIPE DI SCALEA (S.S.113) - VIA GLAUCO (S.S.113) - VIA ANADIOMENE (S.S.113);Percorso storico;PERCORSI STORICI;VIE LITORALI ALTO TRAFFICO;MARCIAPIEDE;VII;OSM;38.1991285;13.3276869;42;Parzialmente accessibile;Alta;No;12
VS_55;VIALE REGINA ELENA;Percorso storico;PERCORSI STORICI;ALTA PRESSIONE TURISTICA E OSTRUZIONE;MARCIAPIEDE;VII;OSM;38.1991815;13.3289351;41;Parzialmente accessibile;Alta;No;13
VS_56;VIA TOMMASO NATALE;Percorso storico;PERCORSI STORICI;ALTA PRESSIONE TURISTICA;MARCIAPIEDE;VII;OSM;38.1825964;13.2973162;41;Parzialmente accessibile;Alta;No;14
VS_57;PIAZZA SFERRACAVALLO (S.S.113) - VIA TORRETTA (S.S.113) - VIA CATULLO;Percorso storico;PERCORSI STORICI;AREA TURISTICA;MARCIAPIEDE;VII;OSM;38.1982151;13.276741;50;Parzialmente accessibile;Alta;No;12
VC_01;VIA PORRAZZI - VIA RAFFAELE LA VALLE - VIA PALMERINO - VIA AGOSTINO CATALANO - CORSO PIETRO PISANI;Via cittadina;PERCORSI CITTADINI;ASSE URBANO RESIDENZIALE E DI SERVIZI CON VIABILITÀ SECONDARIA;MARCIAPIEDE;IV;OSM;38.1035043;13.3339736;42;Parzialmente accessibile;Alta;No;13
VC_02;CORSO CALATAFIMI;Via cittadina;PERCORSI CITTADINI;ASSE PRINCIPALE DI SCORRIMENTO URBANO/COMMERCIALE;MARCIAPIEDE;IV;OSM;38.0962272;13.3134713;34;Accessibile;Alta;No;19
VC_03;VIA PARUTA;Via cittadina;PERCORSI CITTADINI;VIABILITÀ URBANA LOCALE /RESIDENZIALE;MARCIAPIEDE;IV;OSM;38.0935489;13.3198958;44;Parzialmente accessibile;Alta;No;14
VC_04;VIA BRANCACCIO – VIA SAN GIOVANNI DI DIO – VIALE AMEDEO D’AOSTA;Via cittadina;PERCORSI CITTADINI;ASSI URBANI DI COLLEGAMENTO/RESIDENZIALE;MARCIAPIEDE;II;OSM;38.1024448;13.3783766;46;Parzialmente accessibile;Alta;No;16
VC_05;VIA DEI PICCIOTTI – VIA SALVATORE CAPPELLO – VIA MESSINA MARINE;Via cittadina;PERCORSI CITTADINI;VIABILITÀ URBANA DI COLLEGAMENTO;MARCIAPIEDE;II;stima;38.0577715;13.4276228;37;Accessibile;Alta;No;18
VC_06;VIALE EMIRO GIAFAR – VIA PADRE GIUSEPPE PUGLISI;Via cittadina;PERCORSI CITTADINI;ASSE URBANO DI SCORRIMENTO/RESIDENZIALE;MARCIAPIEDE;III;stima;;;53;Parzialmente accessibile;Alta;No;17
VC_07;VIA ARMANDO DIAZ – VIA MESSINA MARINE;Via cittadina;PERCORSI CITTADINI;ASSE DI SCORRIMENTO/AREA PERIFERICA;MARCIAPIEDE;VIII;stima;37.8829997;13.3779608;47;Parzialmente accessibile;Alta;No;16
VC_08;VIA MARESCIALLO GUGLIELMO PECORI GIRALDI – VIA XXVII MAGGIO;Via cittadina;PERCORSI CITTADINI;VIABILITÀ URBANA LOCALE;MARCIAPIEDE;VIII;stima;;;44;Parzialmente accessibile;Alta;No;15
VC_09;VIA XXVII MAGGIO – VIA MESSINA MARINE;Via cittadina;PERCORSI CITTADINI;VIABILITÀ URBANA LOCALE;MARCIAPIEDE;II;OSM;38.0963414;13.4041324;37;Accessibile;Alta;No;16
VC_10;VIA MESSINA MARINE – VIA ANTONINO LAUDICINA;Via cittadina;PERCORSI CITTADINI;VIABILITÀ LOCALE;MARCIAPIEDE;VII;OSM;38.0979185;13.4127941;46;Parzialmente accessibile;Alta;No;12
VC_11;VIA PAPA SERGIO I;Via cittadina;PERCORSI CITTADINI;ASSE RESIDENZIALE;MARCIAPIEDE;VII;OSM;38.1573791;13.3708818;38;Accessibile;Alta;No;13
VC_12;VIA VERGINE MARIA;Via cittadina;PERCORSI CITTADINI;STRADA STATALE COSTIERA AD ALTO SCORRIMENTO (SS 113);MARCIAPIEDE;VII;OSM;38.1624313;13.3703644;47;Parzialmente accessibile;Alta;No;14
VC_13;VIA DELL’AUTONOMIA SICILIANA – VIA GIUSEPPE ALESSI – VIA MARIO RUTELLI – VIA GABRIELE D’ANNUNZIO;Via cittadina;PERCORSI CITTADINI;AREA DIREZIONALE/COMMERCIALE;MARCIAPIEDE;VIII;stima;;;42;Parzialmente accessibile;Alta;No;14
VC_14;VIA MONTEPELLEGRINO – VIA DEI CANTIERI – VIA DON ORIONE;Via cittadina;PERCORSI CITTADINI;ALTA PRESENZA DI SERVIZI;MARCIAPIEDE;VIII;OSM;38.139665;13.3580558;43;Parzialmente accessibile;Alta;No;19
VC_15;VIA ANWAR SADAT – VIA AMMIRAGLIO RIZZO;Via cittadina;PERCORSI CITTADINI;AREA DIREZIONALI E RESIDENZIALI;MARCIAPIEDE;VIII;OSM;38.1450728;13.3552687;37;Accessibile;Alta;No;15
