Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
VS_57,PIAZZA SFERRACAVALLO (S.S.113) - VIA TORRETTA (S.S.113) - VIA CATULLO,Percorso storico,PERCORSI STORICI,AREA TURISTICA,MARCIAPIEDE,38.1982151,13.276741,,50,Parzialmente accessibile,Alta,No,12,,,VII,Tommaso Natale - Sferracavallo,Sferracavallo
A_01,NIDO FRANCESCA MORVILLO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1982215,13.2811645,"Via Pegaso, 29",62,Parzialmente inaccessibile,Alta,No,7,Sconnessioni nel percorso di accesso; citofono troppo alto; assenza di pavimentazione tattile e segnaletica per ipovedenti; maniglioni insufficienti nei servizi igienici; pendenza eccessiva all'esterno.,NIDO FRANCESCA MORVILLO,VII,Tommaso Natale - Sferracavallo,Sferracavallo
VS_55,VIALE REGINA ELENA,Percorso storico,PERCORSI STORICI,ALTA PRESSIONE TURISTICA E OSTRUZIONE,MARCIAPIEDE,38.1991815,13.3289351,,41,Parzialmente accessibile,Alta,No,13,,,VII,Partanna Mondello,Partanna Mondello
VS_54,VIA PRINCIPE DI SCALEA (S.S.113) - VIA GLAUCO (S.S.113) - VIA ANADIOMENE (S.S.113),Percorso storico,PERCORSI STORICI,VIE LITORALI ALTO TRAFFICO,MARCIAPIEDE,38.1991285,13.3276869,,42,Parzialmente accessibile,Alta,No,12,,,VII,Partanna Mondello,Partanna Mondello
VS_53,VIA PARTANNA MONDELLO (S.S.113) - VIA LORENZO IANDOLINO (S.S.113) - VIA CARBONE (S.S.113) - VIALE,Percorso storico,PERCORSI STORICI,VIALE DI SCORRIMENTO,MARCIAPIEDE,38.1943426,13.3044966,,44,Parzialmente accessibile,Alta,No,16,,,VII,Partanna Mondello,Partanna Mondello
VC_25,VIALE MARGHERITA DI SAVOIA,Via cittadina,PERCORSI CITTADINI,TURISTICO-BALNEARE,MARCIAPIEDE,38.1899621,13.3328917,,36,Accessibile,Alta,No,13,,,VII,Partanna Mondello,Partanna Mondello
VC_24,VIALE IRIS,Via cittadina,PERCORSI CITTADINI,TURISTICO-BALNEARE,MARCIAPIEDE,38.1992595,13.3281904,,48,Parzialmente accessibile,Alta,No,12,,,VII,Partanna Mondello,Partanna Mondello
VC_21,VIA TETI – VIALE PRINCIPE DI SCALEA,Via cittadina,PERCORSI CITTADINI,TURISTICO-BALNEARE,MARCIAPIEDE,38.2057435,13.3242887,,41,Parzialmente accessibile,Alta,No,13,,,VII,Partanna Mondello,Partanna Mondello
VC_23,VIALE DELLE ROSE,Via cittadina,PERCORSI CITTADINI,TURISTICO-BALNEARE,MARCIAPIEDE,38.20078366,13.32670414,,42,Parzialmente accessibile,Alta,No,12,,,VII,Partanna Mondello,Partanna Mondello
A_08,NIDO LA MIMOSA,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1715029,13.3274052,"Viale Duca degli Abruzzi, 12",56,Parzialmente accessibile,Alta,No,7,Citofono non idoneo; pavimentazione esterna sconnessa; assenza di pavimentazione tattile; locali non fruibili per ipovedenti.,NIDO LA MIMOSA,VII,Pallavicino,Pallavicino
A_03,NIDO CLAUDIO DOMINO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1699863,13.3225272,"Piazza Contardo Ferrini, 14",67,Parzialmente inaccessibile,Alta,No,7,Criticità diffuse nei collegamenti verticali; percorso di accesso non a norma; citofono non raggiungibile; assenza di guida per ipovedenti; porta servizio igienico priva di maniglione antipanico; presenza di vegetazione infestante.,NIDO CLAUDIO DOMINO,VII,Pallavicino,Patti - Villaggio Ruffini
VS_52,VIALE DELLA RESURREZIONE,Percorso storico,PERCORSI STORICI,"VIALE DI SCORRIMENTO NORD, TRAFFICO INTENSO",MARCIAPIEDE,38.1687794,13.3224068,,48,Parzialmente accessibile,Alta,No,14,,,VII,Pallavicino,Patti - Villaggio Ruffini
VC_18,VIA ELEONORA DUSE – VIA PADRE ROSARIO DA PARTANNA,Via cittadina,PERCORSI CITTADINI,ASSE RESIDENZIALE,MARCIAPIEDE,38.1707584,13.3189526,,51,Parzialmente accessibile,Alta,No,13,,,VII,Pallavicino,Patti - Villaggio Ruffini
U_01,CIRCOSCRIZIONE VII - DIREZIONE/ORGANI ISTITUZIONALI,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE,,,38.1711424,13.3187865,"Via Eleonora Duse, 31",58,Parzialmente accessibile,Alta,No,7,,,VII,Pallavicino,Patti - Villaggio Ruffini
VC_17,VIA FRANCESCO DE GOBBIS - VIA AGESIA DI SIRACUSA (NON VALUTABILE),Via cittadina,PERCORSI CITTADINI,,,38.1789511,13.309922,,,Non valutabile,,Si,0,,,VII,Pallavicino,San Filippo Neri
VC_16,VIA SMITH ADAMO - VIA FAUSTO COPPI (NON VALUTABILE),Via cittadina,PERCORSI CITTADINI,,,38.177228,13.311839,,,Non valutabile,,Si,0,,,VII,Pallavicino,San Filippo Neri
AV_01,"PARCO D’URSO ERMELINDA, VIA GINO ZAPPA (NON VALUTABILE)",Area verde,AREE URBANE,,,38.17854501,13.31196752,"Via Gino Zappa, 154",,Non valutabile,,Si,0,,,VII,Pallavicino,San Filippo Neri
A_02,NIDO LA COCCINELLA,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1804824,13.3111392,"Via Pietro D'Alvise, 2",56,Parzialmente accessibile,Alta,No,7,Assenza di segnaletica per ipovedenti; porta d'ingresso e interne parzialmente adeguate; maniglioni insufficienti nel bagno disabili; assenza di pavimentazione tattile.,NIDO LA COCCINELLA,VII,Pallavicino,San Filippo Neri
VC_15,VIA ANWAR SADAT – VIA AMMIRAGLIO RIZZO,Via cittadina,PERCORSI CITTADINI,AREA DIREZIONALI E RESIDENZIALI,MARCIAPIEDE,38.1450728,13.3552687,,37,Accessibile,Alta,No,15,,,VIII,Montepellegrino,Montepellegrino
VC_14,VIA MONTEPELLEGRINO – VIA DEI CANTIERI – VIA DON ORIONE,Via cittadina,PERCORSI CITTADINI,ALTA PRESENZA DI SERVIZI,MARCIAPIEDE,38.139665,13.3580558,,43,Parzialmente accessibile,Alta,No,19,,,VIII,Montepellegrino,Montepellegrino
U_08,CASA COMUNALE - UFFICIO STATALE LOCALE,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI -   UFFICIO AMMINISTRATIVO COMUNALE,,,38.146376,13.3543356,"Via Anwar Sadat, 11/13",71,Parzialmente inaccessibile,Alta,No,4,Ascensore non a norma; sportello informazioni inaccessibile; pavimentazione esterna sconnessa; assenza di guide sensoriali e maniglioni antipanico; servizi igienici carenti.,CASA COMUNALE,VIII,Montepellegrino,Montepellegrino
VS_46,VIA MONTALBO,Percorso storico,PERCORSI STORICI,ARTERIA INTERNA PERIFERICA,MARCIAPIEDE,38.138124,13.3631565,,46,Parzialmente accessibile,Alta,No,13,,,VIII,Montepellegrino,Cantieri
U_10,"UFFICIO IGIENE E SALUTE, POLITICHE ABITATIVE E GIOVANILI",Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO DELLA PUBBLICA AMMINISTRAZIONE,,,38.1388411,13.3675212,"Via Montalbo, 249",61,Parzialmente accessibile,Alta,No,7,,,VIII,Montepellegrino,Cantieri
S_07,SCUOLA ABBA,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA,,,38.1440059,13.3661859,"Via Giordano Calcedonio, 1",78,Parzialmente inaccessibile,Alta,No,7,Barriere architettoniche negli spazi comuni; pavimentazione esterna sconnessa; presenza di scalinate senza rampa; campanello troppo alto; assenza maniglioni nei bagni; parapetto scala non a norma.,SCUOLA ABBA,VIII,Montepellegrino,Acquasanta
VS_47,VIA AMMIRAGLIO RIZZO – PIAZZA ACQUASANTA – VIA BELMONTE (S.S.113),Percorso storico,PERCORSI STORICI,VIE STORICHE INTERNE E STRETTE,MARCIAPIEDE,38.14384252,13.36733502,,50,Parzialmente accessibile,Alta,No,13,,,VIII,Montepellegrino,Acquasanta
VC_11,VIA PAPA SERGIO I,Via cittadina,PERCORSI CITTADINI,ASSE RESIDENZIALE,MARCIAPIEDE,38.1573791,13.3708818,,38,Accessibile,Alta,No,13,,,VII,Arenella - Vergine Maria,Arenella
U_04,CIMITERO S. M. DEI ROTOLI,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - CIMITERO COMUNALE STATALE,,,38.159836,13.3695591,"V. Papa Sergio I, 96",66,Parzialmente inaccessibile,Alta,No,7,Pavimentazione esterna sconnessa; dislivelli agli ingressi; porte strette; assenza di maniglioni antipanico e di segnaletica per non vedenti.,CIMITERO S. M. DEI ROTOLI,VII,Arenella - Vergine Maria,Arenella
S_05,SCUOLA RIZZO,Scuola,SERVIZI PUBBLICI - ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1505549,13.3709715,"V. Papa Sergio I, 21",71,Parzialmente inaccessibile,Alta,No,7,Assenza maniglioni antipanico all'ingresso; campanello troppo alto; bagno solo al piano terra; corrimano ad altezza non adeguata; assenza percorso tattile.,SCUOLA RIZZO,VII,Arenella - Vergine Maria,Arenella
VS_49,VIA PAPA GREGORIO MAGNO – VIA SAN VINCENZO DÈ PAOLI,Percorso storico,PERCORSI STORICI,"VIE COSTIERE (S.S.113), TRAFFICO FREQUENTE",MARCIAPIEDE,38.1522327,13.3704866,,41,Parzialmente accessibile,Alta,No,13,,,VII,Arenella - Vergine Maria,Arenella
VS_48,VIA PAPA SERGIO I (S.S.113),Percorso storico,PERCORSI STORICI,"VIE COSTIERE (S.S.113), TRAFFICO FREQUENTE",MARCIAPIEDE,38.1573791,13.3708818,,35,Accessibile,Alta,No,15,,,VII,Arenella - Vergine Maria,Arenella
VC_12,VIA VERGINE MARIA,Via cittadina,PERCORSI CITTADINI,STRADA STATALE COSTIERA AD ALTO SCORRIMENTO (SS 113),MARCIAPIEDE,38.1624313,13.3703644,,47,Parzialmente accessibile,Alta,No,14,,,VII,Arenella - Vergine Maria,Arenella
VS_50,VIA BORDONARO (S.S.113) – VIA NOSTRA SIGNORA DEL ROTOLO,Percorso storico,PERCORSI STORICI,"VIE COSTIERE (S.S.113), TRAFFICO FREQUENTE",MARCIAPIEDE,38.1654668,13.3683396,,48,Parzialmente accessibile,Alta,No,13,,,VII,Arenella - Vergine Maria,Vergine Maria
