Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
S_26,SCUOLA OBERDAN,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA,,,38.1003829,13.3722799,Largo Ercole Pietro,58,Parzialmente accessibile,Alta,No,4,Scalino d'ingresso; pavimentazione interna scivolosa; maniglioni bagno insufficienti; assenza segnali ipovedenti; pendenza rampa eccessiva.,SCUOLA OBERDAN,III,Oreto- Stazione,Oreto Guadagna
A_26,NIDO IL FARO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.0931522,13.3746516,"Via Giuseppe Paratore, 13",66,Parzialmente inaccessibile,Alta,No,4,Citofono troppo alto; porte interne di dimensioni insufficienti; bagno disabili non presente; assenza di indicazioni per ipovedenti e pavimentazione tattile.,NIDO IL FARO,III,Oreto- Stazione,Oreto Guadagna
VC_52,VIA PAOLO ORSI – VIA GIUSEPPE PARATORE,Via cittadina,PERCORSI CITTADINI,AREA RESIDENZIALE SEMICENTRALE A TRAFFICO MEDIO,MARCIAPIEDE,38.0943142,13.3744804,,38,Accessibile,Alta,No,8,,,III,Oreto- Stazione,Oreto Guadagna
VC_35,VIA FRANCESCO LA COLLA – VIA ORETO – VIA ANTONIO TANTILLO,Via cittadina,PERCORSI CITTADINI,RESIDENZIALE POPOLARE,MARCIAPIEDE,38.1008251,13.3722468,,38,Accessibile,Alta,No,16,,,III,Oreto- Stazione,Oreto Guadagna
VC_34,VIA ORETO – VIA BERGAMO – VIA ROCCO JEMMA,Via cittadina,PERCORSI CITTADINI,SERVIZI/INTENSO FLUSSO PEDONALE,MARCIAPIEDE,38.0949762,13.3750419,,48,Parzialmente accessibile,Alta,No,16,,,III,Oreto- Stazione,Oreto Guadagna
U_22,CIRCOSCRIZIONE III SPORTELLO POLIFUNZIONALE,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SPORTELLO POLIFUNZIONALE DI SERVIZI DEMOGRAFICI E AMMINISTRATIVI,,,38.1012433,13.3727282,"Via la Colla Francesco, 48",56,Parzialmente accessibile,Alta,No,4,,,III,Oreto- Stazione,Oreto Guadagna
VS_18,VIA GIOVANNI ARGENTO - VIA ENRICO TOTI - PIAZZA MONTEGRAPPA,Percorso storico,PERCORSI STORICI,STRADE INTERNE AREA SEMI-CENTRALE/ISTITUZIONALE,MARCIAPIEDE,38.1065401,13.3539795,,54,Parzialmente accessibile,Alta,No,13,,,IV,S. Rosalia - Montegrappa,Montegrappa
AV_20,"GIARDINO, VIA ERNESTO BASILE",Area verde,AREE URBANE,AMBITO RESIDENZIALE INTENSIVO AD ALTO SCORRIMENTO,PERCORSI INTERNI,38.09737716,13.3462081,Via Carmelo Raiti - Via Ernesto Basile,44,Parzialmente accessibile,Alta,No,10,,,IV,S. Rosalia - Montegrappa,S.Rosalia
A_24,NIDO MARICÒ,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.0970519,13.3472429,"Via Salvatore Pelligra, 4",58,Parzialmente accessibile,Alta,No,6,Pavimentazione esterna sconnessa; bagno non fruibile; porta non idonea; assenza di pavimentazione tattile.,NIDO MARICÒ,IV,S. Rosalia - Montegrappa,S.Rosalia
A_25,ASILO GALANTE,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1125784,13.344622,Piazza Danisinni,58,Parzialmente accessibile,Alta,No,4,Fughe larghe nel percorso di accesso; citofono troppo alto; sistemi di sollevamento verticale non a norma; assenza pavimentazione tattile.,ASILO GALANTE,IV,Cuba-Calatafimi,Cuba - Calatafimi
VS_41,VIA GIUSEPPE PITRE’,Percorso storico,PERCORSI STORICI,ASSE DI SCORRIMENTO AREA ADIACENTE IL CENTRO STORICO,MARCIAPIEDE,38.1104945,13.3302451,,40,Parzialmente accessibile,Alta,No,18,,,IV,Cuba-Calatafimi,Cuba - Calatafimi
VS_40,VIA PINDEMONTE,Percorso storico,PERCORSI STORICI,"ASSE STORICO PRINCIPALE (CASSARO), PARZIALMENTE PEDONALIZZATO",MARCIAPIEDE,38.1089063,13.340187,,44,Parzialmente accessibile,Alta,No,14,,,IV,Cuba-Calatafimi,Cuba - Calatafimi
VS_16,CORSO RE RUGGERO,Percorso storico,PERCORSI STORICI,ASSE STORICO E MONUMENTALE (VICINO PALAZZO REALE),MARCIAPIEDE,38.1093152,13.3536092,,48,Parzialmente accessibile,Alta,No,12,,,IV,Cuba-Calatafimi,Cuba - Calatafimi
VU_01,VIA MICHELE PIAZZA – VIA SILVIO PELLICO – VIA ZISA – PIAZZA INGASTONE – VIA COLONNA ROTTA,Percorso UNESCO,PERCORSI UNESCO,VIE DI ACCESSO AREA STORICO-ISTITUZIONALE,MARCIAPIEDE,38.1162108,13.3442485,,50,Parzialmente accessibile,Alta,No,14,,,V,Zisa,Zisa - Ingastone
VS_42,VIA CIPRESSI – VIA REGINA BIANCA,Percorso storico,PERCORSI STORICI,ARTERIE INTERNE PERIFERICHE,MARCIAPIEDE,38.1142699,13.3452212,,58,Parzialmente accessibile,Alta,No,13,,,V,Zisa,Zisa - Ingastone
VC_27,VIA MICHELE PIAZZA – VIA EUGENIO L’EMIRO – VIA MICHELE SCOTO – VIA NINA SICILIANA – VIA PERPIGNANO – VIA,Via cittadina,PERCORSI CITTADINI,ALTA DENSITÀ/RESIDENZIALE,MARCIAPIEDE,38.1162108,13.3442485,,49,Parzialmente accessibile,Alta,No,18,,,V,Zisa,Zisa - Ingastone
SU_01,LA ZISA,Sito UNESCO (edificio),SERVIZI PUBBLICI – SITO UNESCO,,,38.11690912,13.34156594,Piazza Zisa,93,Inaccessibile,Alta,No,7,"Elevata presenza di barriere fisiche e sensoriali; pavimentazione interna sconnessa; assenza di percorsi guidati, mappe tattili e percorsi per ipovedenti; biglietteria troppo alta e scale non accessibili.",LA ZISA,V,Zisa,Zisa - Ingastone
AV_16,GIARDINO DELLA ZISA,Area verde,AREE URBANE,AMBITO RESIDENZIALE,PERCORSI INTERNI,38.11688696,13.34327039,Via Guglielmo Il Buono,47,Parzialmente accessibile,Alta,No,10,,,V,Zisa,Zisa - Ingastone
S_19,SCUOLA COLOZZA,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1163757,13.3495818,"Via Imera, 32",63,Parzialmente inaccessibile,Alta,No,6,Campanello e citofono non raggiungibili; assenza maniglione antipanico su porta bagno; segnaletica ipovedenti insufficiente; superficie esterna discontinua.,SCUOLA COLOZZA,V,Zisa,Olivuzza
